basis,created_at,created_by_id,place_a_id,place_b_id,task_id,updated_at
imported,2024-05-31,2,4830289,7232483,NULL,2024-05-31
imported,2024-05-31,2,5764518,7688586,NULL,2024-05-31
imported,2024-05-31,2,5981366,7239241,NULL,2024-05-31
imported,2024-05-31,2,85947,14191602,NULL,2024-05-31
imported,2024-05-31,2,14170090,7685553,NULL,2024-05-31
imported,2024-05-31,2,5814017,6368975,NULL,2024-05-31
imported,2024-05-31,2,5894580,7690616,NULL,2024-05-31
imported,2024-05-31,2,5611721,7690576,NULL,2024-05-31
imported,2024-05-31,2,4615997,12704828,NULL,2024-05-31
imported,2024-05-31,2,7792763,7792784,NULL,2024-05-31
imported,2024-05-31,2,227911,5013997,NULL,2024-05-31
imported,2024-05-31,2,5319036,6375184,NULL,2024-05-31
imported,2024-05-31,2,227561,7685887,NULL,2024-05-31
imported,2024-05-31,2,12346654,12346654,NULL,2024-05-31
imported,2024-05-31,2,12506261,83640,NULL,2024-05-31
imported,2024-05-31,2,14192150,14191871,NULL,2024-05-31
imported,2024-05-31,2,14167551,7688534,NULL,2024-05-31
imported,2024-05-31,2,82356,6296852,NULL,2024-05-31
imported,2024-05-31,2,83615,6373716,NULL,2024-05-31
imported,2024-05-31,2,5464049,7226797,NULL,2024-05-31
imported,2024-05-31,2,5832508,7237842,NULL,2024-05-31
imported,2024-05-31,2,227572,14223778,NULL,2024-05-31
imported,2024-05-31,2,4731700,7227513,NULL,2024-05-31
imported,2024-05-31,2,4450959,6372287,NULL,2024-05-31
imported,2024-05-31,2,14175154,90653,NULL,2024-05-31
imported,2024-05-31,2,6372554,7690712,NULL,2024-05-31
imported,2024-05-31,2,5577352,7241853,NULL,2024-05-31
imported,2024-05-31,2,13568080,7690862,NULL,2024-05-31
imported,2024-05-31,2,4809009,7256808,NULL,2024-05-31
imported,2024-05-31,2,5216250,6369815,NULL,2024-05-31
imported,2024-05-31,2,4735612,6372579,NULL,2024-05-31
imported,2024-05-31,2,5833795,7229799,NULL,2024-05-31
imported,2024-05-31,2,5188936,7241921,NULL,2024-05-31
imported,2024-05-31,2,6121620,7238719,NULL,2024-05-31
imported,2024-05-31,2,14164015,7686552,NULL,2024-05-31
imported,2024-05-31,2,4534997,7231470,NULL,2024-05-31
imported,2024-05-31,2,12346280,6374020,NULL,2024-05-31
imported,2024-05-31,2,5366937,7259757,NULL,2024-05-31
imported,2024-05-31,2,7638646,7685486,NULL,2024-05-31
imported,2024-05-31,2,5245554,7231094,NULL,2024-05-31
imported,2024-05-31,2,5640947,7255256,NULL,2024-05-31
imported,2024-05-31,2,4775640,7260523,NULL,2024-05-31
imported,2024-05-31,2,6079298,7238900,NULL,2024-05-31
imported,2024-05-31,2,5202426,90802,NULL,2024-05-31
imported,2024-05-31,2,6130627,7224129,NULL,2024-05-31
imported,2024-05-31,2,5713089,7262317,NULL,2024-05-31
imported,2024-05-31,2,5173994,8100670,NULL,2024-05-31
imported,2024-05-31,2,84350,13137389,NULL,2024-05-31
imported,2024-05-31,2,14057333,7685765,NULL,2024-05-31
imported,2024-05-31,2,5627373,7227625,NULL,2024-05-31
imported,2024-05-31,2,4576533,7235114,NULL,2024-05-31
imported,2024-05-31,2,89470,6457052,NULL,2024-05-31
imported,2024-05-31,2,83611,7607779,NULL,2024-05-31
imported,2024-05-31,2,82874,7686422,NULL,2024-05-31
imported,2024-05-31,2,82474,12929936,NULL,2024-05-31
imported,2024-05-31,2,7647075,7647141,NULL,2024-05-31
imported,2024-05-31,2,5782690,7226307,NULL,2024-05-31
imported,2024-05-31,2,13546778,13054634,NULL,2024-05-31
imported,2024-05-31,2,12697077,13294409,NULL,2024-05-31
imported,2024-05-31,2,87449,14192536,NULL,2024-05-31
imported,2024-05-31,2,4955322,7691621,NULL,2024-05-31
imported,2024-05-31,2,5395429,7229083,NULL,2024-05-31
imported,2024-05-31,2,5834425,83476,NULL,2024-05-31
imported,2024-05-31,2,5350772,6373729,NULL,2024-05-31
imported,2024-05-31,2,5840910,7244459,NULL,2024-05-31
imported,2024-05-31,2,5054218,7231810,NULL,2024-05-31
imported,2024-05-31,2,5102734,7688182,NULL,2024-05-31
imported,2024-05-31,2,7686113,12549440,NULL,2024-05-31
imported,2024-05-31,2,5764518,6368394,NULL,2024-05-31
imported,2024-05-31,2,6368533,7686453,NULL,2024-05-31
imported,2024-05-31,2,4493142,7235307,NULL,2024-05-31
imported,2024-05-31,2,7691203,12573078,NULL,2024-05-31
imported,2024-05-31,2,6205314,82690,NULL,2024-05-31
imported,2024-05-31,2,5944603,7262254,NULL,2024-05-31
imported,2024-05-31,2,7059037,14221169,NULL,2024-05-31
imported,2024-05-31,2,5736959,6375312,NULL,2024-05-31
imported,2024-05-31,2,85729,12502094,NULL,2024-05-31
imported,2024-05-31,2,2487391,81895,NULL,2024-05-31
imported,2024-05-31,2,6236529,85706,NULL,2024-05-31
imported,2024-05-31,2,81882,12647843,NULL,2024-05-31
imported,2024-05-31,2,85778,12954166,NULL,2024-05-31
imported,2024-05-31,2,87273,87273,NULL,2024-05-31
imported,2024-05-31,2,2487709,81494,NULL,2024-05-31
imported,2024-05-31,2,14154999,7685600,NULL,2024-05-31
imported,2024-05-31,2,2487603,4710032,NULL,2024-05-31
imported,2024-05-31,2,82677,7686274,NULL,2024-05-31
imported,2024-05-31,2,4990877,7690887,NULL,2024-05-31
imported,2024-05-31,2,4662088,7255974,NULL,2024-05-31
imported,2024-05-31,2,6000770,7687274,NULL,2024-05-31
imported,2024-05-31,2,4615074,7685644,NULL,2024-05-31
imported,2024-05-31,2,6216118,6373052,NULL,2024-05-31
imported,2024-05-31,2,5734609,7239600,NULL,2024-05-31
imported,2024-05-31,2,5732224,6369990,NULL,2024-05-31
imported,2024-05-31,2,6373588,12410595,NULL,2024-05-31
imported,2024-05-31,2,90260,6372990,NULL,2024-05-31
imported,2024-05-31,2,88113,7689768,NULL,2024-05-31
imported,2024-05-31,2,227834,5445992,NULL,2024-05-31
imported,2024-05-31,2,5751212,6369640,NULL,2024-05-31
imported,2024-05-31,2,2487629,5653827,NULL,2024-05-31
imported,2024-05-31,2,6372624,6370524,NULL,2024-05-31
imported,2024-05-31,2,4852898,7259061,NULL,2024-05-31
imported,2024-05-31,2,4695266,6982852,NULL,2024-05-31
imported,2024-05-31,2,5082135,14158673,NULL,2024-05-31
imported,2024-05-31,2,4746410,7232434,NULL,2024-05-31
imported,2024-05-31,2,83514,14154637,NULL,2024-05-31
imported,2024-05-31,2,5071974,7691212,NULL,2024-05-31
imported,2024-05-31,2,7675919,7676913,NULL,2024-05-31
imported,2024-05-31,2,4776091,14060758,NULL,2024-05-31
imported,2024-05-31,2,12357143,14175144,NULL,2024-05-31
imported,2024-05-31,2,5266066,7254763,NULL,2024-05-31
imported,2024-05-31,2,7689584,7689584,NULL,2024-05-31
imported,2024-05-31,2,7685198,14255522,NULL,2024-05-31
imported,2024-05-31,2,5187555,6374483,NULL,2024-05-31
imported,2024-05-31,2,6017744,7244810,NULL,2024-05-31
imported,2024-05-31,2,6180002,7254059,NULL,2024-05-31
imported,2024-05-31,2,4606553,7254892,NULL,2024-05-31
imported,2024-05-31,2,6368393,14184280,NULL,2024-05-31
imported,2024-05-31,2,91444,6372884,NULL,2024-05-31
imported,2024-05-31,2,81809,13782433,NULL,2024-05-31
imported,2024-05-31,2,5986610,7688487,NULL,2024-05-31
imported,2024-05-31,2,12881247,7690038,NULL,2024-05-31
imported,2024-05-31,2,83030,14158372,NULL,2024-05-31
imported,2024-05-31,2,7686704,7610113,NULL,2024-05-31
imported,2024-05-31,2,5319211,13002645,NULL,2024-05-31
imported,2024-05-31,2,5708449,6373011,NULL,2024-05-31
imported,2024-05-31,2,90070,13776063,NULL,2024-05-31
imported,2024-05-31,2,227872,5947868,NULL,2024-05-31
imported,2024-05-31,2,2487384,5657791,NULL,2024-05-31
imported,2024-05-31,2,5199403,6371493,NULL,2024-05-31
imported,2024-05-31,2,5754495,7232570,NULL,2024-05-31
imported,2024-05-31,2,12862101,6375316,NULL,2024-05-31
imported,2024-05-31,2,4605233,7687636,NULL,2024-05-31
imported,2024-05-31,2,4615995,6375517,NULL,2024-05-31
imported,2024-05-31,2,4893404,6374301,NULL,2024-05-31
imported,2024-05-31,2,227656,83369,NULL,2024-05-31
imported,2024-05-31,2,2486621,82744,NULL,2024-05-31
imported,2024-05-31,2,90686,14159120,NULL,2024-05-31
imported,2024-05-31,2,128843,84832,NULL,2024-05-31
imported,2024-05-31,2,89552,7686085,NULL,2024-05-31
imported,2024-05-31,2,4945559,7804282,NULL,2024-05-31
imported,2024-05-31,2,6078120,82828,NULL,2024-05-31
imported,2024-05-31,2,85433,85432,NULL,2024-05-31
imported,2024-05-31,2,12345859,7691495,NULL,2024-05-31
imported,2024-05-31,2,5029555,6371684,NULL,2024-05-31
imported,2024-05-31,2,14181883,6369004,NULL,2024-05-31
imported,2024-05-31,2,5528856,7245266,NULL,2024-05-31
imported,2024-05-31,2,4969753,6373936,NULL,2024-05-31
imported,2024-05-31,2,5625297,6374368,NULL,2024-05-31
imported,2024-05-31,2,85530,7688102,NULL,2024-05-31
