place_a_id,place_b_id
6368982,7685953
6170308,6469540
170023,7610204
140017,7690462
2487320,7691002
14161912,13923606
5079481,83282
5750343,6373591
89648,87537
5029162,89996
4937528,6375165
6369066,6373098
7554960,6372303
4637043,7689327
5536332,6374021
87901,84901
4622252,83634
5233111,6370070
14149909,7254835
5069572,7240921
6369240,6373801
2487453,81977
82439,14154304
6373342,14158578
82828,82828
12345742,13877730
13528759,6370891
4733387,7223195
13113151,6368765
5273224,6373995
5927978,90207
7137356,14158708
82854,7686406
7689059,14174852
5898479,6372882
139997,7690435
5417923,7689069
12991996,12991996
5402412,6372194
6153276,6371147
6373766,12346329
5068224,7610214
5329831,6372128
14258376,7686936
6370562,13465683
4696142,7137401
5100132,6370640
88060,7689752
4899919,7243900
4648948,7241055
90375,7610241
89679,90710
6368452,6373978
7554926,83423
88690,6375210
5014928,84563
5344871,7247763
6177261,14036738
5392858,6368410
13470062,7686468
5777653,89285
6104477,6371418
5840964,7238279
6225348,6982550
5247426,6373897
5135530,89390
6370683,7690433
227617,4606965
2488450,89388
5866352,87600
88102,88102
5919626,6368313
6371377,6368006
6691859,7554873
90587,12346804
6370329,6465234
14191870,14192074
5725981,7241650
5934395,85775
6462271,7137779
13267225,6370349
5324196,7232273
4908577,7243064
5509402,7800628
6164019,7226792
6373150,6373077
5435363,7240327
6691825,7137756
6015132,14180009
5781748,139886
82969,85800
4786135,6982836
5110286,8113342
84092,7687225
91005,90793
5572885,7591297
5128264,91451
6153397,8064079
227575,84719
5106650,7690127
5375760,7687503
13948832,6369784
5607327,7688129
5537873,14153489
14176533,6373323
4696891,7229023
5185119,87828
6371119,7553472
14153350,7137141
14161128,14161128
4611739,7686348
12346147,7690439
91205,91205
6123232,7239930
227705,7686026
5345486,7223379
6369372,13665846
5685190,7257709
7685609,7610066
5204981,7261021
81843,6292718
5095828,6375268
84726,6371680
5830552,6982739
84053,6106335
6075278,6375503
12346174,174440
5681448,6983077
5756172,7228453
13942755,14256356
4696170,88626
6375157,7685669
4573026,7688450
5535158,7247146
4885426,6368375
5067863,7861501
12407344,14161143
5790177,7243952
14157228,7687988
6371497,13804006
2486579,81198
14160809,7686517
91332,7689811
5916596,7247490
227911,83093
5324277,7261883
7148058,12345946
6375056,83630
6371645,14222532
5897355,7260891
5551791,14161029
85901,82964
7554983,7137659
6373704,7687645
5323590,7228740
4709747,88469
7054997,13539992
2487535,5639334
2487381,83090
14156600,12592142
5230818,7253967
14192146,14191949
90096,90254
85371,7688033
87205,14155999
4615332,82015
4907031,7253239
4664832,7137139
5994771,7258564
7691502,14169637
4726875,6369009
7686226,7687654
5062448,7243679
228034,81888
5346471,14175134
14158003,84026
4928862,7256525
4900879,7247347
5653865,7687263
84191,81170
8113885,8113886
2486725,87188
5948258,82902
227784,85756
5791971,14190735
4928076,7225743
6170516,7240356
6372969,7861944
7863731,7863891
6221465,7237762
88512,6373054
89417,7690750
2486596,7137825
6047033,12943730
5764072,7638926
7689606,7689606
89917,89917
7056284,6371554
5894171,85682
90768,6371174
4697206,7247071
5842235,14191602
6159669,81290
139968,7610119
5071419,87810
5636559,85416
12422217,7689022
4686635,7137366
80990,7685042
81627,81627
14191949,14191949
4713960,6373480
4613069,7233844
6371378,7685306
6370060,7686465
6181496,6372038
83748,6372238
4863789,88802
5176699,7258939
5803852,7242202
5626251,7230213
6374899,6369748
7673330,7680128
4492510,6372739
4752339,7234873
12430743,6982662
2487514,90934
4956016,7237902
6466929,6369127
4943160,7225718
5897337,7236389
6692228,14192148
5379129,6373138
2486679,83670
5524114,6368465
6143259,7261413
6228748,6373507
2486650,83998
85915,6370328
5058026,90922
6371880,6369798
5818174,7230178
5328866,83274
4888495,85197
5465463,7234339
5994129,7243240
5966418,7223397
167111,14161122
4682476,7251729
4885414,6375474
6373294,7689835
81332,6457455
4857581,6374053
5083122,7262448
4643407,6368354
6373637,7137277
84778,7137659
87153,7689159
12345742,12345742
6125349,170540
7687819,13061875
5704227,7249247
7691578,6375541
5357433,7685792
14161161,7610241
87159,7689170
5111878,7242284
5587677,7687659
85506,7688088
6368615,6368615
5061116,7687193
87588,6372806
82406,6368146
91515,7551974
6102080,7228465
5703819,6453281
4927463,14189826
6193103,7235033
4767700,7261714
7554890,6373296
5043574,6369823
13118138,14161568
6462387,6368615
81847,7685616
7690548,7690548
5020733,7241173
5485592,7258918
83769,81127
6094718,7249824
7674473,7674565
6375374,7687549
6061203,8068953
167152,88542
5828250,7812280
5953169,7227096
227543,90291
4905949,6374012
89849,7691006
227841,6373787
2487487,84430
5246038,7248452
5099931,6369906
6367977,14155483
6374743,7685910
5806925,7685412
12552091,7686724
12642642,14168346
5753928,7686353
6233837,7255957
5035174,7688011
5056504,6369369
6460262,12346572
5915899,6369182
4884939,7610281
4872158,7241122
91067,14209328
7673293,7680076
5308121,14260346
83618,12345846
6156562,6373775
88090,88089
14160874,5008015
5791303,7237896
6371941,14260144
12435015,85288
14157667,6369881
2486675,84889
14157937,6372738
4543473,7239837
6454489,81768
4935637,7253454
5827329,7688073
5654297,7252878
5043231,6373498
7687509,6371585
85097,7686404
5254212,7241489
12697077,12697077
4938541,7687884
4991717,7256547
83245,6368319
6373029,12346256
5492839,7248351
5390043,84895
4676597,7235549
85257,7688049
90083,13850231
4838711,7239310
13064464,6371459
88798,6368407
4964173,7223230
84360,7687387
6372987,7688115
6373331,7686416
5514744,7228973
12639819,87584
6179576,7235325
4654407,7250135
81985,13141737
4846778,7246438
5428867,7256535
5272511,88246
83815,6374211
90888,12780530
6369008,6374023
5813902,89424
13963311,7690622
6369792,6375141
5803295,7253602
5324472,7230362
6371812,12528391
5585757,7249447
6452720,14157366
14191953,14191953
87835,7689600
14156647,82113
6136356,7253664
4671282,85987
6011902,7691871
6373066,12591164
13963311,13135073
6372660,6370157
5739673,84229
5591899,7244317
5317666,6370722
6106819,90467
6207259,7226447
6372557,7137601
7688248,7688248
5226194,7137420
84817,84817
4605997,7249672
4513053,12346726
7685114,7610056
7643615,7643619
4873882,6369613
5083492,7233476
4622150,14054492
4803464,7249802
13479709,6374766
81783,7137704
4480520,6373916
14191923,14192148
4901662,7262776
4550679,6369828
5018586,7686608
5817217,6367998
7686724,7687339
227994,4931953
5107049,7789474
12739060,7687515
5368357,12346147
12819841,7685817
7237598,7688342
4745647,7238893
2486682,85159
81363,7685313
13245801,6371928
4836667,14053105
4639499,82434
5937395,7870372
7687269,14190849
6368738,6368738
6169942,7688581
83867,83867
14181883,6465521
6050358,7610174
14156768,5784888
5022693,6375120
6109496,7252396
88829,91147
6188277,7687252
14178954,7687668
5676546,7238563
13646211,12407644
2486626,87527
5339226,6373455
5358113,6373835
6368364,6374699
6370535,84369
5177200,6371406
5284039,83123
89652,89645
5054884,7254310
6135214,6372701
5590104,6368795
5057896,6368660
14139367,13793939
6159748,4657403
5887838,14255490
14173523,14161514
90179,167944
83651,6369209
85349,7689364
227576,4759177
5692027,7261746
167102,7610241
4551885,6371011
83369,7861491
14191949,14191953
4576518,85778
6124714,13399640
5042014,7235000
90873,90873
4843627,7258510
6368128,7137304
5161681,7222930
6368843,14260310
6692346,12726061
5859993,6374157
5280180,14100221
7672764,7680044
6151890,7233521
12867062,14168623
5774943,7257365
2488268,87792
6249667,7226473
5649156,7258645
4758419,6375033
83974,7685895
7137640,81716
4460930,7686204
6179768,7241388
4803967,13736691
6131939,89533
6009371,7237501
5748928,7259422
4486045,7232563
6450118,12591536
81299,6368821
14160929,7688492
4485774,7689900
6249650,7246613
2487586,82303
12922913,5743266
81198,7685159
5646250,7691018
5746361,7685742
6368813,7554935
2488218,6449413
5199399,6370376
127631,14160944
6026016,7672324
85530,7137539
13674564,12754717
90994,6368623
4586832,7686010
4997049,6368696
13269457,7689358
5111347,7230343
81586,6374499
14156600,6375228
14036974,14256937
4661564,6372061
81383,7685299
5036231,81197
12345950,6374118
90825,14153657
5849576,6369065
12346897,7691269
6375039,7687693
6088958,85668
4922758,7225752
4950850,6372279
14191916,14192150
5086085,88326
5439257,7615027
82459,13360839
4902419,13391823
6370146,7861345
88365,6368660
5504896,14163433
12346272,7691856
4548314,7554912
13465310,7691749
5282310,7237191
5388087,7254818
81458,7686025
6036452,6374176
5499041,6374329
7610300,12586911
7685080,7843001
227751,5649869
5403651,14118126
83314,14161417
5940805,6372743
4669491,7242400
7686313,13259346
14184898,7691377
4811491,6375467
5277963,7137177
7686406,5343747
4849614,6368025
4841037,6370023
5637362,7688884
227595,91482
85603,6375316
81514,6369118
12657431,7689908
6368765,6373305
2488636,7691850
6369062,6373024
6464955,6371174
14078944,7687402
14139261,12935985
5286543,6371065
7673126,7680018
6178415,7240675
7686263,13620408
5067491,7691883
5537998,14169636
85137,6368713
175076,14161062
4505746,14190098
14192148,14192029
6375313,7553774
5916899,7231144
12345928,83366
4893107,7260610
4717891,7254392
6029296,7223762
5149538,6369543
5849758,7860679
5121252,6466832
5615385,7685824
7798850,7798855
5182980,7254170
6373353,7690268
83313,14161019
7639990,7685037
82093,5810670
14161161,167102
5833418,7249637
87937,6373098
5388433,7253359
5590940,7245643
5177855,7689658
4787307,7246140
5583196,6371446
5227120,7685944
4529446,7244181
4603973,81808
6106744,7685968
6467830,7554877
6368819,7137509
13067719,12963481
167667,12563580
2487304,5350659
227796,86880
6373364,7688220
6372803,7689838
6368337,6372739
6120284,6120284
4990151,85716
5067760,7689406
88368,88393
6371802,7054997
84235,84235
84026,14260673
4601231,6369122
4973950,91498
88970,7861497
6368484,7554986
6022482,7253906
5459266,7137448
6069371,6369642
6092376,90345
4510092,14178284
5128036,86496
5320155,7691468
6375084,7688074
85853,7688295
91272,7686348
14154479,13634976
5247977,6369022
5272535,7690287
88478,140022
7691273,7610241
5841712,7691209
4480723,7235311
82617,14181883
14153387,12445717
5176580,7255916
82406,7685910
6375179,7689239
7691252,7798849
4878063,7861536
5556024,7257848
5113063,7256983
5966924,7246035
89562,12346961
4898976,14176937
14157985,7687174
5521669,7240489
90963,6373488
86829,6371405
5184912,6368336
7690038,7690038
14192085,14191953
12346611,7610226
5647738,7229187
5705109,7235648
4677067,7230626
4727424,7649623
5881564,7231012
176711,7686125
5718940,7234106
91212,91213
7249244,6375555
4787074,7688443
5810259,82471
5102872,87118
2487545,4821419
4783928,7691316
12742338,13754638
7691551,13012841
4803459,7247587
4844680,7225338
5812914,7240781
6075278,7686579
14158305,6368817
5245662,7235257
6368778,13141408
2487803,85656
5107630,7860675
227686,7861320
5034799,7236509
6450192,7554209
4787278,6373058
4755803,6370636
5375867,81173
4908920,7244263
5690352,7240106
6374631,7685335
6371011,14185098
13646211,13646211
5603896,91132
178781,14160874
14260007,7685808
227706,87612
6373922,14143168
5308046,86205
6079804,7260101
4482137,7688300
5396914,7690068
5958332,84369
6159645,85958
6369053,6374953
2487259,5976145
4620019,7255485
6372010,13807666
6000550,8119714
14156768,7688442
6369167,13201750
7247204,7690487
6374073,7686361
5663634,7226319
6368718,7688550
4761465,6373529
6369095,7689658
81883,81882
5908931,6371964
14160901,14161421
4984213,7235931
128819,5814306
6375338,7689021
5481202,7844844
6368985,85206
6368541,7687603
5602065,6372585
6375166,6372552
7555092,7689764
5198987,6373096
84863,6374439
227599,4534203
84198,6468396
4762925,85280
5451895,7260123
14111452,14111452
6367879,7861267
6051074,7227366
5836886,7687298
4656051,7257139
12752716,12752716
6467676,83041
5635493,7688579
5075399,14258985
82015,7685757
88215,6370209
14153867,14153867
14154191,7687307
7691370,14260107
5070423,7257081
7137341,7137350
5758517,7690927
4604211,6374375
5477020,81936
5281094,7261645
85986,125619
91213,6373407
227688,5929804
6207964,7691814
227875,6369210
5516114,6369608
5540961,86083
5462989,87220
2487445,82985
5698453,7259314
6375159,7689050
4978753,7238740
6371607,14211303
5181419,6373888
5219222,7226063
14158003,7687141
83827,7834886
12345878,88542
5930141,82047
5839016,7237616
91619,7691478
227749,6375140
5213166,6369446
227934,6375065
6198486,7610236
5098424,7226313
5614402,6371540
5883097,7262219
5972418,8107721
4527385,7685722
87938,6375219
6454877,7689768
2488559,90661
4870666,7687197
5887134,6369211
14153519,82964
6369075,13568105
5661679,7255966
5884311,7691289
91430,14154479
13871321,14157660
5868857,7262106
13367863,7690312
5460197,14184360
4449685,85558
12346145,6371870
12502094,85729
2487510,5573152
6368630,14054491
89506,86103
6369266,14260231
4840272,6370996
6053729,88092
6453065,14155518
4987240,13072117
5792786,82214
5927290,84718
85551,13535266
4966003,86819
4590921,7252340
82555,7686173
6225935,6374363
5505241,7599438
5170872,7687893
87514,6372020
14184239,6368799
6151925,7250198
5507741,7243129
4519174,7686286
82979,14156468
5746335,6370575
4809663,7247755
227574,13322322
7686492,14260156
5825638,7237506
5366872,7261100
4692728,7685624
5611767,7246539
5852850,13874764
6464955,13209059
4605433,7250645
4643075,85807
227929,4566101
6370349,7137154
86776,7688943
5675300,8114380
14168857,12718697
5465798,7237914
2487439,7591990
7672893,7680098
5614858,6373500
14004087,6370261
2487474,4823097
5954508,6469262
6369039,7690309
4999027,7238755
6370978,7686930
4674229,6373303
227705,82371
4526851,6368502
5018155,86465
5603913,6368680
89858,7691014
2487870,91140
7591756,7596069
13138496,7691604
88286,13850488
5788621,6370539
6025786,6370570
6369088,6375150
5989995,6372356
6038004,7232672
7687791,7687791
227751,87276
5456518,6371079
176469,14165306
6371792,6369596
5188617,6372318
5019356,7231247
6242888,7244816
5509236,7686990
6371823,12798500
5831481,86084
2486658,84307
6369137,6373295
5182113,7230633
5439145,90328
5832180,7233045
84751,12346165
7555043,14156111
7687548,12345858
85530,13528524
4536028,7241177
5564883,7258850
5986890,7691563
86423,6369134
6373633,6369888
81774,7690439
5911612,86692
12881247,14161161
5856288,84573
2487384,84374
2487442,7687045
6464167,87612
8130276,8130277
89736,7688563
4578713,7258074
4921282,7224262
14192074,14191949
2487736,2487721
5795701,6374364
227712,7691579
4831766,7230745
12586933,12586933
6373771,7248360
6214866,7688076
