id	title	title_source	ccodes	types	fclasses	aat_types	lon	lat	start	end	matches	parent_name	parent_id
hgc-pp-1026	Ğaj TamƔaly	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.89624	45.53287	1450	1800	gn:688156	Küčük Qarasuv district	http://www.geonames.org/11494737
hgc-pp-1027	Alupka	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.04531	44.41808	1450	1800	gn:713514	Mangup district	http://www.geonames.org/11494691
hgc-pp-1028	Aqjar	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.5224	44.58883	1450	1800	gn:694423	Mangup district	http://www.geonames.org/11494691
hgc-pp-1029	Autka	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.13662	44.49138	1450	1800	gn:710878	Mangup district	http://www.geonames.org/11494691
hgc-pp-1030	Baɣa	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.84943	44.49992	1450	1800	gn:699659	Mangup district	http://www.geonames.org/11494691
hgc-pp-1031	Bajdar	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.77588	44.44685	1450	1800	gn:698391	Mangup district	http://www.geonames.org/11494691
hgc-pp-1032	Balyglava	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.59942	44.51118	1450	1800	gn:712930	Mangup district	http://www.geonames.org/11494691
hgc-pp-1033	Büjük Lambat	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.36469	44.61356	1450	1800	gn:701947	Mangup district	http://www.geonames.org/11494691
hgc-pp-1034	Čerkez Kermen	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	33.7388231	44.62131036	1450	1800	gn:704116	Mangup district	http://www.geonames.org/11494691
hgc-pp-1035	Dermen Köj	A Historical-Etymological Dictionary of Pre-Russian Habitation Names of the Crimea (H. Jankowski 2006)	UA	habitation	P	300008347	34.31753	44.59232	1450	1800	gn:687670	Mangup district	http://www.geonames.org/11494691
